,customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_segment,segment_result
15,000e943451fc2788ca6ac98a682f2f49,494,4,106.23,1,2,3,123,Hibernating
21,001051abfcfdbed9f87b4266213a5df1,91,3,65.2,5,1,2,512,New customers
97,004937d0f9d6ce15c2830c00c2f482e5,213,2,70.91,3,1,2,312,About to sleep
144,006a5d6b5f648f3811fd4fa94d93a67c,456,2,76.94,1,1,2,112,Hibernating
169,007b18ac9b8a627f259ea78aed981315,164,2,43.13,4,1,1,411,Promising
176,007e99fec9d53dfa4e5d8be9c2b36ca7,452,7,410.37,1,4,5,145,At risk
179,00838729460c2110a0bd330a4bb9b332,158,2,55.13,4,1,2,412,Promising
190,008def95c3ec7f58d2cc8f2b1d2c3feb,371,2,51.14,2,1,1,211,Hibernating
206,0097c5abeb126a90646370f4a1cf3d93,85,3,148.68,5,1,4,514,New customers
228,00a7f9b60493b4b11601b42e5f31eac9,86,2,58.35,5,1,2,512,New customers
229,00a860aeb15fb205efdb0c689d8f9c6a,357,2,73.34,2,1,2,212,Hibernating
245,00b7c3578d5231b0b60a62414118652b,488,2,190.62,1,1,5,115,Hibernating
251,00ba767af52461bf567696d2a6d2909f,307,4,62.01,2,2,2,222,Hibernating
281,00cca8735b2e7b89dc267f378e5c9e8d,498,2,18.25,1,1,1,111,Hibernating
301,00e13fc0014cb95fde8d8eb1d3d84195,510,2,133.49,1,1,4,114,Hibernating
330,00f6217307f712298d8e47215f0bf2ad,273,5,73.34,3,3,2,332,Potential loyalists
389,0122f471f8b583b4b8262a9ba5870e0e,477,2,62.28,1,1,2,112,Hibernating
441,0145ffd2fcca22ddeebbcd95f7ad890e,111,2,133.92000000000002,4,1,4,414,Promising
495,0165da25e09d5c73a6d3ba6443d202f3,218,2,96.22,3,1,3,313,About to sleep
526,018184ac5f52a821bb00f3ef21d75799,500,2,54.74,1,1,2,112,Hibernating
561,0198441fd94fedf81ba98683f6449a1e,126,2,104.62,4,1,3,413,Promising
568,019b7b400189d67c8b75754edd1919f7,405,3,72.83,2,1,2,212,Hibernating
569,019dc2cd7ae165a706dd249829e0e1f1,407,2,414.14,2,1,5,215,Hibernating
592,01aef689891025af290bbdc4788d87da,27,2,371.42,5,1,5,515,New customers
637,01d259010afdcc421652fd14d9ea6d6c,174,2,26.13,4,1,1,411,Promising
656,01e3b59f83722a3b5c209feddd2a0b84,134,2,62.309999999999995,4,1,2,412,Promising
682,01f7a6194359c08da2d2c27e1b52101d,122,2,150.15,4,1,4,414,Promising
737,0218cebf93e71536419e31f4938f1774,270,2,109.26,3,1,3,313,About to sleep
780,023042a5cd5724a563a100acb1cf89c9,393,2,197.92000000000002,2,1,5,215,Hibernating
893,02822ed21b96d3da2f2b7acad6b0d9e0,384,2,392.27,2,1,5,215,Hibernating
894,0282e1d60197412167fbb0b111fd55e2,164,2,47.29,4,1,1,411,Promising
918,0297d4246fd48c7ed31b81c7f99776eb,48,2,92.30000000000001,5,1,3,513,New customers
957,02b20345e0df036b3078abd5b381b241,451,2,69.24,1,1,2,112,Hibernating
993,02cb3a8ef6e13d37560379559e2f533d,687,3,27.86,1,1,1,111,Hibernating
1034,02e5db654b2f6b734ed89d5a28cb200e,441,2,26.75,1,1,1,111,Hibernating
1065,02fcee476755e629f2a4113550450b24,96,2,27.689999999999998,5,1,1,511,New customers
1077,0306418261763252d46c47f9251e76e2,396,2,90.28,2,1,3,213,Hibernating
1080,030770361597328c6dfeffc197915bcc,180,3,86.96,4,1,3,413,Promising
1107,0315a87fba4dab4865f2071777b98e87,418,4,76.08,1,2,2,122,Hibernating
1121,031f08a1ebdcfb5e706831bf64de3860,691,2,71.2,1,1,2,112,Hibernating
1155,0332d8ec6d259a1caeda045188ffe70f,54,2,285.73,5,1,5,515,New customers
1189,0349b833ebc99262c2369a6e20732960,136,2,138.41,4,1,4,414,Promising
1214,0359293832be85974700b436b3ddc6ef,520,2,117.03,1,1,4,114,Hibernating
1221,035da1211e1f631ab58ceb5e614d3bd6,311,3,167.95,2,1,4,214,Hibernating
1243,036eed6f0650d445406ff23640b7911b,496,2,219.64,1,1,5,115,Hibernating
1267,0385c03f2b10a0a50ee72d8e3649a4b3,151,2,143.32,4,1,4,414,Promising
1276,0389344fcfa1b39110fe6943f8abcfad,453,2,48.09,1,1,1,111,Hibernating
1283,038d3dd1371d364b6ae8ece9febc397b,483,2,96.88,1,1,3,113,Hibernating
1292,03959f8a4aa2ffd6c471d797b3e95055,203,2,177.49,4,1,5,415,Promising
1312,03a62f764ee7e4701929561d653e4029,111,2,196.68,4,1,5,415,Promising
1323,03b243d7ac6a467982044dd9dddb4d68,44,2,583.15,5,1,5,515,New customers
1334,03b753419e88796de2c7127ff13dce58,587,2,74.59,1,1,2,112,Hibernating
1375,03d0ec2d85870812d23393eda7a45e8c,279,2,84.13000000000001,3,1,3,313,About to sleep
1418,03fa8e275f7ffe9b81f18e30c42fa7a6,119,2,48.22,4,1,1,411,Promising
1482,042b53f9e609289d8f6fcbd59b4acf63,149,2,17.85,4,1,1,411,Promising
1521,04445deee7383ac75ad3026150466867,265,7,41.72,3,4,1,341,Loyal customers
1543,0454038eb49c9d4f0fbe5f2c7896980b,117,3,66.81,4,1,2,412,Promising
1545,0455d45b64061c4e759e04cd9101f5fa,541,2,97.99,1,1,3,113,Hibernating
1574,046f890135acc703faff4c1fc0c2d73c,67,2,11.56,5,1,1,511,New customers
1580,047294a4de92e622ab7aa66d6efc9efe,242,2,39.1,3,1,1,311,About to sleep
1593,047965eae6564b51ea05b945966ec595,19,2,212.89,5,1,5,515,New customers
1629,0499e8d702425ef8b10da2172f9fec96,154,2,182.1,4,1,5,415,Promising
1673,04bac030c0366892396bc49c1c64a8e5,293,5,19.349999999999998,3,3,1,331,Potential loyalists
1768,04f9ab3f03d2bce18997b1e224e6ad70,329,2,31.75,2,1,1,211,Hibernating
1816,051df23b0ca41d5daa47268b5b96a450,249,2,172.01,3,1,4,314,About to sleep
1818,051eeefd4cdba801dae1ab465d41636a,366,2,28.17,2,1,1,211,Hibernating
1837,0530963cc6bdc31ca98ac61d7514efc3,193,2,123.1,4,1,4,414,Promising
1855,053c7943cf3218c20664c01973f729de,112,2,154.34,4,1,4,414,Promising
1998,059dfc6c74bcf83ff77081e773ac1631,163,2,66.87,4,1,2,412,Promising
2046,05c3bc7f2c3c3a45c39595a46c76ad58,72,2,196.43,5,1,5,515,New customers
2069,05de5898b9da9365b1823e7fd23700c1,195,2,54.59,4,1,2,412,Promising
2082,05e996469a2bf9559c7122b87e156724,384,2,234.28,2,1,5,215,Hibernating
2093,05f31c9645c6cd60123b1d035e274ee2,245,2,18.04,3,1,1,311,About to sleep
2136,061435b8938e25375c2bcf58dff7745b,62,2,21.39,5,1,1,511,New customers
2169,062850c890eb64c3bec2243bd551fb8f,99,3,120.25,5,1,4,514,New customers
2172,06297f06409ee00a3cfdbf2f1a016afa,465,2,273.93,1,1,5,115,Hibernating
2238,065c7937ffd166df6521e1008403ffd0,414,2,72.38,2,1,2,212,Hibernating
2268,0676c04bee30e323a1cdca3b7e222525,126,2,111.30999999999999,4,1,3,413,Promising
2389,06d529bccb0825265d8b5b73c66e53d8,10,2,210.35999999999999,5,1,5,515,New customers
2405,06deea7d56068efd37c65f8daff0e03b,198,3,196.5,4,1,5,415,Promising
2416,06e81d76102b0d027324e7375400a11c,447,2,53.6,1,1,2,112,Hibernating
2447,0702faf732d0bf1539d8808806133ab0,234,2,114.86,3,1,4,314,About to sleep
2486,07268a96fa4f3812925fa07de7cc3c73,509,2,104.95,1,1,3,113,Hibernating
2508,0735127fb140700b0cb93cff41ab55c4,123,4,35.879999999999995,4,2,1,421,Potential loyalists
2581,07660608cde07538da3a7ff7a838af11,106,2,33.19,5,1,1,511,New customers
2625,078a2f61525075c9f8bb16f202854ff7,493,5,28.42,1,3,1,131,At risk
2711,07d2fc9925c3b3ef80df52be56a06482,38,2,188.2,5,1,5,515,New customers
